"gene_id","biotype","source"
"ATlnc_157","lnc_exonic_antisense","DevSeq"
"ATlnc_1572","lnc_exonic_antisense","DevSeq"
"ATlnc_1573","lnc_exonic_antisense","DevSeq"
"ATlnc_1577","lnc_exonic_antisense","DevSeq"
"ATlnc_1579","lnc_exonic_antisense","DevSeq"
"ATlnc_1581","lnc_exonic_antisense","DevSeq"
"ATlnc_1584","lnc_exonic_antisense","DevSeq"
"ATlnc_1585","lnc_exonic_antisense","DevSeq"
"ATlnc_1586","lnc_exonic_antisense","DevSeq"
"ATlnc_1587","lnc_exonic_antisense","DevSeq"
"ATlnc_1588","lnc_exonic_antisense","DevSeq"
"ATlnc_1589","lnc_exonic_antisense","DevSeq"
"ATlnc_1592","lnc_exonic_antisense","DevSeq"
"ATlnc_1594","lnc_exonic_antisense","DevSeq"
"ATlnc_1595","lnc_exonic_antisense","DevSeq"
"ATlnc_1596","lnc_exonic_antisense","DevSeq"
"ATlnc_1597","lnc_exonic_antisense","DevSeq"
"ATlnc_1598","lnc_exonic_antisense","DevSeq"
"ATlnc_160","lnc_exonic_antisense","DevSeq"
"ATlnc_1600","lnc_exonic_antisense","DevSeq"
"ATlnc_1601","lnc_exonic_antisense","DevSeq"
"ATlnc_1604","lnc_exonic_antisense","DevSeq"
"ATlnc_1605","lnc_exonic_antisense","DevSeq"
"ATlnc_1606","lnc_exonic_antisense","DevSeq"
"ATlnc_1609","lnc_exonic_antisense","DevSeq"
"ATlnc_161","lnc_exonic_antisense","DevSeq"
"ATlnc_1620","lnc_exonic_antisense","DevSeq"
"ATlnc_1621","lnc_exonic_antisense","DevSeq"
"ATlnc_1622","lnc_exonic_antisense","DevSeq"
"ATlnc_1624","lnc_exonic_antisense","DevSeq"
"ATlnc_1625","lnc_exonic_antisense","DevSeq"
"ATlnc_1629","lnc_exonic_antisense","DevSeq"
"ATlnc_1633","lnc_exonic_antisense","DevSeq"
"ATlnc_1634","lnc_exonic_antisense","DevSeq"
"ATlnc_1635","lnc_exonic_antisense","DevSeq"
"ATlnc_1636","lnc_exonic_antisense","DevSeq"
"ATlnc_1637","lnc_exonic_antisense","DevSeq"
"ATlnc_1639","lnc_exonic_antisense","DevSeq"
"ATlnc_164","lnc_exonic_antisense","DevSeq"
"ATlnc_1643","lnc_exonic_antisense","DevSeq"
"ATlnc_1647","lnc_exonic_antisense","DevSeq"
"ATlnc_1648","lnc_exonic_antisense","DevSeq"
"ATlnc_165","lnc_exonic_antisense","DevSeq"
"ATlnc_1652","lnc_exonic_antisense","DevSeq"
"ATlnc_1653","lnc_exonic_antisense","DevSeq"
"ATlnc_1654","lnc_exonic_antisense","DevSeq"
